"","CUE","Nletters","Lg10WF","AoA_Kup_lem"
"1","a",-0.334239130434782,0.37103873941094,-0.744814189538043
"2","a lot",-0.303203661327231,0.0200721326832674,-1.01377492276888
"3","after",0.0357142857142856,0.174514099204728,-0.538569678571428
"4","airplane",-0.625263157894737,0.147629813041593,-0.601322115087719
"5","all",-0.126829268292683,0.0730635917363331,-0.256971569337979
"6","all gone",-0.505120167189133,0.329020509739598,-1.16727286750261
"7","alligator",0.259375,-0.0778601850103802,-0.152777710511364
"8","am",-0.263157894736842,0.164463726990001,-0.325109531129653
"9","and",-0.00472001716369874,-0.00634532886453698,-0.136240107273117
"10","animal",-0.252857142857144,0.170884830825769,-0.630436754285714
"11","ankle",-0.431304347826087,0.182145881264006,-0.750294275362319
"12","another",0.00867586403072096,0.152514357624287,0.0178237630493525
"13","ant",-0.390482695810564,0.128824355191359,-0.427547049180328
"14","any",-0.403353658536585,0.344403443594004,-0.500638703353658
"15","apple",0.00496894409937898,0.129095688625261,-0.934153614906832
"16","applesauce",-0.387787470261697,0.0562317574372164,-0.088944762886598
"17","are",-0.328723404255319,0.24239077249396,-0.183598426861702
"18","arm",-0.182576193214491,0.310228502872893,-0.761802282346176
"19","around",0.264604810996564,-0.262559526812911,0.204399775382693
"20","asleep",0.0405844155844157,-0.117479093231032,-0.276496740530303
"21","at",0.488912170420814,0.0422231126509658,-0.362882246900647
"22","aunt",0.0825062034739457,0.0808213412254482,-0.198460717741936
"23","awake",-0.255174544331171,0.232387508512303,-0.872361458294717
"24","away",-0.107451093210587,0.218266970887146,-0.550965740506329
"25","baa baa",-0.526197364191578,0.170859432098332,-0.515617618129219
"26","baby",-0.0445205479452051,0.202850248810531,-0.180646122288813
"27","back",-0.0574324324324325,0.140353187015368,-0.447016658333333
"28","backyard",-0.0114416475972545,0.000291569847118645,-0.370208508390542
"29","bad",0.181037632444283,-0.116785698612195,-0.353536447022288
"30","ball",-0.03125,-0.121959741419937,0.0176869699519226
"31","balloon",-0.130281690140845,0.0336139576673835,-0.771247809859155
"32","banana",0.0670903954802267,0.0578604855200378,-0.263800465748587
"33","basket",-0.372151898734177,0.063001421767797,-0.388385827848102
